key,summary,status,start_date,due_date,parent_summary,components,cdp_name,activity_type,date,description
TRFFC-3583,Scale Meta Ads & TikTok Ads API to all countries,TO SPECIFY,2026-05-18,2026-06-30,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3582,Disaster Recovery Plan,TO SPECIFY,2026-10-01,2026-12-31,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3581,Migration AWS Lambda to EKS,TO SPECIFY,2026-10-01,2026-12-31,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3580,Airflow migration,TO SPECIFY,2026-07-01,2026-09-30,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3579,SLI automation,TO SPECIFY,2026-07-01,2026-09-30,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3578,API platform versioning,TO SPECIFY,2026-09-01,2026-09-30,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3577,Automate Data contracts to collibra & Data Hub,TO SPECIFY,2026-04-01,2026-05-15,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3576,Dynamic Alerting on Ads Campaigns,TO SPECIFY,2026-02-16,2026-03-31,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3575,SEO Ahrefs implem,TO SPECIFY,2026-07-01,2026-08-15,SEO Delivery & Models,[],,,2026-03-10,
TRFFC-3573,Global Media Havas Ingestion (full countries scope),TO SPECIFY,2026-07-01,2026-09-30,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3574,New attribution tool,TO SPECIFY,2026-07-01,2026-09-30,Paid Media/Ads Performance,[],,,2026-03-10,
TRFFC-3572,"Performance Tracker V2: Cross platform Organic Social Data (YouTube, TikTok, Facebook Pages, etc.)",TO SPECIFY,2026-07-01,2026-07-31,Paid Media/Ads Performance,[],,,2026-03-10,"{type=doc, version=1, content=[{type=paragraph, content=[{type=text, text=Cadrage à refaire }]}, {type=paragraph, content=[{type=text, text=Au delà de la cross platform }]}, {type=paragraph, content=[{type=text, text=ajouter potentiellement des nouveaux marchés / plateformes }]}]}"
TRFFC-3571,Campaign Taxonomy,TO SPECIFY,2026-03-16,2026-05-15,Paid Media/Ads Performance,[],,,2026-03-10,"{type=doc, version=1, content=[{type=paragraph, content=[{type=text, text=Implement and test a }, {marks=[{type=strong}], text=campaign naming taxonomy validation rule, type=text}, {type=text, text= using }, {marks=[{type=strong}], text=Great Expectations, type=text}, {type=text, text=, limited to a }, {marks=[{type=strong}], text=pilot scope: Paid Social campaigns only, type=text}, {type=text, text=.}]}, {type=paragraph, content=[{type=text, text=Each marketing channel (Paid Social, Paid Search, Display, etc.) has its own taxonomy and mandatory blocks.}, {type=hardBreak}, {type=text, text=This ticket focuses exclusively on }, {marks=[{type=strong}], text=Paid Social, type=text}, {type=text, text= to validate the approach before scaling to other channels.}]}, {type=rule}, {type=heading, content=[{marks=[{type=strong}], text=Scope (Pilot), type=text}], attrs={level=3}}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Channel:, type=text}, {type=text, text= Paid Social only}, {type=hardBreak}, {type=text, text=(e.g. Meta, TikTok, Pinterest, etc.)}]}]}, {type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Field validated:, type=text}, {type=text, text= }, {marks=[{type=code}], text=campaign_name, type=text}]}]}, {type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Objective:, type=text}, {type=text, text= Detect non-conform campaign names and expose a simple conformance view.}]}]}]}, {type=paragraph, content=[{type=text, text=The template and mandtory fields for each channel are specified in }, {marks=[{type=link, attrs={href=https://docs.google.com/spreadsheets/d/18t3CUfXVuNlM7gtPvNIGwv4yr7LysIb8M8zGq9VLbUk/edit?gid=549378764#gid=549378764}}], text=this file, type=text}]}]}"
TRFFC-3549,Google Stores Review (My Business),TO SPECIFY,2026-09-01,2026-09-30,Paid Media/Ads Performance,"[""Global Analytics""]",Global Analytics,Build,2026-02-26,"{type=doc, version=1, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Owner, type=text}, {type=hardBreak}, {type=text, text=TBD}]}, {type=paragraph, content=[{marks=[{type=strong}], text=Sponsor, type=text}, {type=hardBreak}, {type=text, text=TBD}]}, {type=heading, content=[{type=text, text=Phase / Effort / Cost}], attrs={level=3}}, {type=table, content=[{type=tableRow, content=[{type=tableHeader, content=[{type=paragraph, content=[{type=text, text=Phase}]}], attrs={}}, {type=tableHeader, content=[{type=paragraph, content=[{type=text, text=Effort}]}], attrs={}}, {type=tableHeader, content=[{type=paragraph, content=[{type=text, text=Cost}]}], attrs={}}]}, {type=tableRow, content=[{type=tableCell, content=[{type=paragraph, content=[{type=text, text=Explore}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=2 days}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=€1,500}]}], attrs={}}]}, {type=tableRow, content=[{type=tableCell, content=[{type=paragraph, content=[{type=text, text=Scoping}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=4 days}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=€3,000}]}], attrs={}}]}, {type=tableRow, content=[{type=tableCell, content=[{type=paragraph, content=[{type=text, text=Build}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=10 days}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=€7,500}]}], attrs={}}]}, {type=tableRow, content=[{type=tableCell, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Implementation Cost, type=text}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{marks=[{type=strong}], text=16 days, type=text}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{marks=[{type=strong}], text=€12,000, type=text}]}], attrs={}}]}], attrs={layout=center, localId=fbb17b97-8e8c-418a-adfe-0d8052b3fc7b, isNumberColumnEnabled=false}}, {type=heading, content=[{type=text, text=Context and Objective}], attrs={level=3}}, {type=paragraph, content=[{type=text, text=Laurine Aerts’ team wants to measure the relevance and impact of local content and store experience through }, {marks=[{type=strong}], text=Google Reviews, type=text}, {type=text, text= and customer feedback. Today there is no consolidated view linking feedback with store-level or content-level insights. The objective is to retrieve and analyze store reviews via Google My Business (Business Profile) API and evaluate perceived quality via review scores, topics, and sentiment over time.}]}, {type=heading, content=[{type=text, text=Project Description}], attrs={level=3}}, {type=paragraph, content=[{type=text, text=The project consists of:}]}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=API connection and data collection, type=text}]}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Connect to Google My Business (Business Profile) API}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Collect key fields (store_id, store_name, review_id, author, rating, comment, date, response_status)}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Define refresh frequency (weekly/monthly)}]}]}]}]}, {type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Data processing and storage, type=text}]}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Ingest raw review data into Bronze/Silver}]}]}]}]}]}, {type=heading, content=[{type=text, text=Value for the company}], attrs={level=3}}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Understanding store reviews per market/region (consolidated view of store feedback)}]}]}]}, {type=heading, content=[{type=text, text=Next steps}], attrs={level=3}}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Frame API endpoints, fields, and access credentials}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Explore API and fetch a first sample to validate with business}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Validate final model structure}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Ingest the data}]}]}]}]}"
TRFFC-3548,Centralize & Ingest all marketing agencies data across G9 countries,TO SPECIFY,2026-08-17,2026-12-31,Paid Media/Ads Performance,"[""Global Analytics""]",Global Analytics,Build,2026-02-26,"{type=doc, version=1, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Owner, type=text}, {type=hardBreak}, {type=text, text=Chris Long}]}, {type=paragraph, content=[{marks=[{type=strong}], text=Sponsor, type=text}, {type=hardBreak}, {type=text, text=Raphaël Goumain}]}, {type=heading, content=[{type=text, text=Phase / Effort / Cost}], attrs={level=3}}, {type=table, content=[{type=tableRow, content=[{type=tableHeader, content=[{type=paragraph, content=[{type=text, text=Phase}]}], attrs={}}, {type=tableHeader, content=[{type=paragraph, content=[{type=text, text=Effort}]}], attrs={}}, {type=tableHeader, content=[{type=paragraph, content=[{type=text, text=Cost}]}], attrs={}}]}, {type=tableRow, content=[{type=tableCell, content=[{type=paragraph, content=[{type=text, text=Explore}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=10 days}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=€7,500}]}], attrs={}}]}, {type=tableRow, content=[{type=tableCell, content=[{type=paragraph, content=[{type=text, text=Scoping}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=5 days}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=€3,250}]}], attrs={}}]}, {type=tableRow, content=[{type=tableCell, content=[{type=paragraph, content=[{type=text, text=Build}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=30 days}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{type=text, text=€22,500}]}], attrs={}}]}, {type=tableRow, content=[{type=tableCell, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Implementation Cost, type=text}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{marks=[{type=strong}], text=45 days, type=text}]}], attrs={}}, {type=tableCell, content=[{type=paragraph, content=[{marks=[{type=strong}], text=€33,250, type=text}]}], attrs={}}]}], attrs={layout=center, localId=effc9b36-f656-4760-9f25-c67a70d9f0f1, isNumberColumnEnabled=false}}, {type=heading, content=[{type=text, text=Context and Objective}], attrs={level=3}}, {type=paragraph, content=[{type=text, text=G9 countries work with multiple local media agencies, each delivering performance reports in different formats. Today only France is standardized. The objective is to centralize and harmonize all agency performance data across G9 in the datalake to enable cross-country, cross-agency, and cross-channel comparisons.}]}, {type=heading, content=[{type=text, text=Project Description}], attrs={level=3}}, {type=paragraph, content=[{type=text, text=The project consists of:}]}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Data collection & contracts, type=text}]}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Collect campaign reports from each local agency}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Standardize structures via Data Contracts}]}]}]}]}, {type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Ingestion pipelines, type=text}]}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Automate ingestion to Bronze, normalize in Silver, integrate into Cross-Platform Gold performance table}]}]}]}]}, {type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Unified KPIs & taxonomy, type=text}]}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Align naming conventions, funnel types, campaign types, platforms across countries}]}]}]}]}, {type=listItem, content=[{type=paragraph, content=[{marks=[{type=strong}], text=Reporting integration, type=text}]}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Feed DDM Paid Dashboard and acquisition monitoring with a G9 comparative view}]}]}]}]}]}, {type=heading, content=[{type=text, text=Value for the company}], attrs={level=3}}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Cross-country benchmarking of paid media performance}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Better budget allocation across campaigns/agencies}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Consistent KPIs & governance across markets}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Faster reporting (no manual agency files)}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Scalable model reusable for new markets/agencies}]}]}]}, {type=heading, content=[{type=text, text=Next steps}], attrs={level=3}}, {type=bulletList, content=[{type=listItem, content=[{type=paragraph, content=[{type=text, text=Retrieve G9 data in BigQuery based on existing BQ connections}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Ingest RAW data from BigQuery to S3}]}]}, {type=listItem, content=[{type=paragraph, content=[{type=text, text=Replace API G9 data by BigQuery in Raw}]}]}]}]}"
TRFFC-3542,Discovery - Is the tracking data representative?,In Progress,2026-02-23,2026-03-31,Ecom - Build 2026,"[""Digital analytics""]",Digital analytics,Build,2026-02-23,
TRFFC-3540,Discovery - DBT usage on our pipelines?,TO SPECIFY,,,CDP Digital Analytics - Build 2026,"[""Digital analytics""]",Digital analytics,Discovery,2026-02-23,
TRFFC-3539,How to automate our SLI/SLO?,TO SPECIFY,,,CDP Digital Analytics - Build 2026,"[""Digital analytics""]",Digital analytics,Build,2026-02-23,
TRFFC-3537,B2B - Ingest B2B tracking data for all the countries,TO SPECIFY,2026-03-23,2026-04-05,Ecom - Build 2026,"[""Digital analytics""]",Digital analytics,Build,2026-02-20,
